ID,LONGITUDE,LATITUDE,Coloring,DA,CD,Province,CSD,Abbrev,Suppressed,POP2016,POP2011,Age <4,Age 5 to 9,Age 10 to 14,Age 15 to 19,Age 15,Age 16,Age 17,Age 18,Age 19,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85+,DAUID,POPY65,POPO65
222305,-79622392,43512518,0,35210417,3521,35,3521005,ON,N,1069,1065,40,35,45,65,15,15,10,10,15,65,35,55,50,50,85,80,60,70,65,50,65,65,95,35210417,800,340
222313,-79617720,43512220,2,35210418,3521,35,3521005,ON,N,318,315,10,15,25,30,5,5,0,5,0,20,10,10,10,30,30,25,35,10,25,20,5,10,5,35210418,275,65
222321,-79617931,43515222,3,35210419,3521,35,3521005,ON,N,472,470,25,30,30,35,5,5,5,10,5,30,15,5,35,35,45,40,30,30,25,25,10,20,10,35210419,415,90
222281,-79624419,43499234,1,35210420,3521,35,3521005,ON,N,445,440,25,20,30,35,5,10,5,5,10,30,25,35,25,35,40,30,30,30,25,10,10,5,5,35210420,425,55
222329,-79604764,43511811,2,35210421,3521,35,3521005,ON,N,335,335,5,15,25,40,10,10,5,10,5,25,10,5,10,15,40,35,30,20,15,15,15,10,5,35210421,315,60
222241,-79639236,43511856,1,35210424,3521,35,3521005,ON,N,720,720,40,35,40,60,10,10,15,10,15,55,55,45,55,55,70,65,60,25,20,10,10,10,10,35210424,720,60
222209,-79644282,43507879,0,35210425,3521,35,3521005,ON,N,360,360,30,25,20,20,5,5,10,5,5,25,25,40,25,25,25,20,25,25,15,5,10,5,5,35210425,360,40
222201,-79646437,43509803,4,35210426,3521,35,3521005,ON,N,463,460,10,5,15,10,0,5,5,0,5,10,10,10,15,20,20,15,10,25,35,50,75,60,90,35210426,190,310
222185,-79647175,43506878,1,35210427,3521,35,3521005,ON,N,415,415,15,10,15,35,5,5,10,10,5,35,20,40,20,25,40,45,25,30,20,10,10,10,10,35210427,390,60
222177,-79649507,43506385,0,35210428,3521,35,3521005,ON,N,525,525,25,25,45,45,10,5,10,10,10,35,35,25,35,40,55,35,35,25,20,20,15,5,5,35210428,505,65
222121,-79653159,43505371,2,35210429,3521,35,3521005,ON,N,298,300,10,10,20,15,5,5,0,0,5,15,25,10,15,20,25,35,35,20,20,10,10,5,0,35210429,270,45
222129,-79653732,43506820,3,35210430,3521,35,3521005,ON,N,474,470,10,20,20,50,5,15,10,10,10,35,25,10,25,25,50,65,30,40,25,10,25,5,0,35210430,455,65
222113,-79651639,43503139,1,35210431,3521,35,3521005,ON,N,496,495,30,15,35,30,5,5,5,5,5,40,40,30,30,25,45,50,30,40,20,10,15,5,5,35210431,465,55
222169,-79649511,43503012,2,35210432,3521,35,3521005,ON,N,504,505,30,25,25,30,5,10,5,5,5,40,40,25,30,35,40,40,40,45,25,15,10,5,5,35210432,475,60
222153,-79654105,43509600,2,35210434,3521,35,3521005,ON,N,616,615,25,30,65,45,15,5,10,10,10,50,35,35,25,40,75,55,25,30,30,20,20,10,10,35210434,585,90
222137,-79656801,43509558,0,35210435,3521,35,3521005,ON,N,582,580,15,30,30,35,5,5,10,10,10,40,55,35,30,45,55,40,30,35,30,30,20,15,5,35210435,515,100
222145,-79656502,43514130,3,35210436,3521,35,3521005,ON,N,477,475,25,25,20,35,5,5,10,5,5,35,30,25,25,25,30,40,30,55,40,20,10,10,5,35210436,430,85
222097,-79658151,43507447,1,35210437,3521,35,3521005,ON,N,453,455,25,20,25,30,5,10,10,5,10,25,35,35,35,35,35,35,25,30,20,10,10,5,5,35210437,430,50
225369,-79663435,43518289,0,35210438,3521,35,3521005,ON,N,649,645,15,25,30,45,5,10,10,10,15,60,35,25,35,35,55,65,70,35,35,25,20,20,5,35210438,580,105
225337,-79668972,43521762,3,35210439,3521,35,3521005,ON,N,338,335,20,15,20,25,5,10,0,5,5,20,25,25,20,25,15,30,30,20,20,15,5,5,0,35210439,315,45
